Unnamed: 0,both_proper_decay,proper_tau_decay_only,proper_antitau_decy_only,no_proper_decays,num_taus_fully_reconstructed,num_taus_not_reconstructed,num_antitaus_fully_reconstructed,num_antitaus_not_reconstructed,num_both_fully_reconstructed,num_both_not_reconstructed
0,400,251,253,161,103,148,92,161,82,318
0,402,249,253,161,97,152,111,142,86,316
0,402,250,252,161,100,150,103,149,80,322
0,401,250,251,161,104,146,100,151,79,322
0,401,251,251,161,105,146,105,146,79,322
0,401,248,253,161,106,142,101,152,83,318
0,401,250,252,161,107,143,93,159,94,307
0,402,249,252,161,105,144,91,161,96,306
0,402,250,253,161,102,148,97,156,77,325
0,402,249,253,161,98,151,102,151,83,319
0,401,249,253,161,105,144,99,154,86,315
0,283,174,176,113,66,108,77,99,62,221
0,401,250,251,161,101,149,103,148,85,316
0,402,250,252,161,98,152,91,161,89,313
0,401,250,252,161,102,148,100,152,89,312
0,402,250,252,161,108,142,100,152,96,306
0,401,250,252,161,102,148,107,145,87,314
0,402,250,253,161,110,140,101,152,88,314
